id,GX46,GX36,NT36,NT46,GX12,GX22,GX16,GX26,GX42,GX31,GX41,GX32,gioi,tongham2,tongham3
38,11.52,11.76,11.612,11.873,8.74,8.18,11,11.29,6.67,6.04,6.23,6.7,2,24.68,23.35
39,10.29,10.50,10.336,10.455,6.61,6.46,10.17,10.1,5.68,5.3,5.07,5.96,2,21.91,21.56
40,11.42,11.42,10.957,10.809,7.09,7.1,11.7,11.15,6.23,5.14,4.86,6.31,2,23.08,20.97
41,12.16,12.40,11.685,11.617,7.88,7.82,11.75,11.35,6.37,5.87,5.85,6.33,2,25.1,23.74
42,11.11,11.46,10.101,10.233,7.37,6.73,10.7,10.48,6.2,5.19,5.27,5.91,1,22.73,21.9
43,10.70,10.64,10.746,11.004,7.36,7.23,11.67,10.85,6.03,5.65,5.47,6.17,1,23.37,23.09
44,11.66,11.85,11.977,11.721,8.05,8.09,11.02,11.07,6.85,5.92,5.82,6.65,1,23.74,23.62
45,11.34,11.52,11.032,11.851,7.82,7.66,11.55,11.5,6.48,5.37,5.75,6.35,2,24.25,23.14
46,11.97,11.79,11.242,11.242,7.03,6.96,10.92,11.23,6.25,5.53,5.66,6.14,2,23.8,23.01
47,12.49,12.56,11.692,11.610,7.68,7.6,11.96,11.55,6.3,5.76,6.02,6.27,2,24.82,23.61
48,12.89,12.65,10.592,11.630,7.95,7.82,11.79,12.18,6.74,5.76,5.7,6.39,2,24.08,25.14
49,10.53,10.48,10.529,10.603,7.37,7.13,10.17,10.18,6.33,5.25,5.42,6.5,1,22.78,21
50,11.64,11.81,11.330,11.301,6.7,6.56,11.59,11.13,6.39,5.69,5.75,6.3,1,24.06,23.77
51,11.40,11.03,10.644,10.566,7.65,7.74,10.67,10.67,6.03,5.73,5.68,5.86,1,22.18,21.15
52,11.35,11.95,10.772,11.006,7.27,7.64,10.93,10.27,6.42,5.48,5.44,6.11,1,23.17,22.56
53,11.50,11.67,10.905,11.176,7.78,8.14,10.17,10.71,6.25,5.75,5.86,6.37,1,23.23,22.64
54,11.56,11.92,12.068,11.617,6.97,7.02,11.4,11.12,5.89,5.28,5.47,5.71,2,23.18,23.06
55,12.25,12.18,10.896,11.046,7.31,7.09,10.39,10.3,6.58,5.93,5.8,6.67,2,23.92,23.11
56,11.36,11.25,10.631,10.835,7.28,7.22,10.48,10.46,6.4,5.42,5.31,6.53,2,23.15,21.25
57,12.18,11.84,11.674,11.881,7.8,7.86,10.97,11.15,6.68,5.96,5.8,5.96,2,23.12,25.29
58,11.63,11.63,10.920,10.580,7.36,5.94,10.77,10.72,6.3,5.89,5.82,6.3,2,22.8,22.18
59,10.86,11.09,9.745,10.141,6.92,6.57,9.78,9.98,6.11,5.22,5.39,6.16,2,21.55,21.88
60,10.29,10.73,10.051,9.557,7.16,6.88,9.98,10.33,6.19,5.26,5.31,6.18,1,21.65,20.03
61,12.24,12.16,11.333,11.571,8.6,8.39,11.42,11.15,6.54,6.11,5.96,6.64,1,25.56,23.84
62,11.22,11.01,10.506,10.540,7.85,7.72,9.97,9.64,6.48,5.68,5.54,6.23,1,23.17,21
63,10.60,10.70,11.184,11.632,7.27,7.28,10.65,10.69,6.68,5.78,5.78,6.55,2,24.27,22.5
64,10.29,10.19,10.010,9.972,5.81,6.34,9.67,9.59,5.65,5.58,5.43,5.85,1,20.91,19.64
65,10.00,10.73,10.013,10.421,7.02,6.64,9.63,9.31,5.75,5.11,5.43,6,1,22.45,20.91
66,10.47,10.37,10.452,10.467,7.39,7.1,10.97,10.79,6.26,5.59,5.49,6.38,1,21.82,21.06
67,12.22,12.01,10.826,11.353,7.44,7.32,11.04,11.28,6.36,5.77,5.72,6.45,1,22.45,21.75
68,11.70,11.64,11.107,11.191,7.16,7.35,11.21,10.66,5.99,5.51,6.11,6.37,1,22.55,22.38
69,12.28,12.53,11.547,11.457,7.14,7.05,11,11.32,6.58,5.63,5.61,6.43,2,23.41,22.13
70,12.45,12.64,11.755,11.696,7.17,6.9,11.13,11.17,6.74,5.88,5.91,6.75,1,25.6,24.26
71,12.27,12.09,11.906,10.931,8.94,8.63,10.77,11.1,6.51,6.31,6.17,7.03,2,25.22,23.45
72,11.17,10.64,9.892,10.252,7.59,7.11,10.83,10.52,6.24,5.67,5.76,6.19,1,21.78,21.29
73,12.04,12.18,11.247,11.429,7.17,7.28,11.21,10.69,6.03,5.65,5.52,6.26,2,23.28,22.17
74,11.03,10.97,10.068,10.216,6.68,7.09,10.38,10.45,5.53,5.2,5.28,5.68,2,22.37,20.38
75,10.31,10.37,10.663,10.584,6.81,6.29,10.39,10.15,6.15,5.83,5.8,6.16,1,21.75,21.37
76,10.37,10.80,11.792,11.683,7.25,7.5,10.15,10.3,6,5.62,5.89,6.1,2,23.13,22.64
77,11.64,11.38,9.787,10.560,7.51,7.93,10.71,10.71,6.55,5.73,5.8,6.62,2,23.75,24.07
78,11.31,11.41,11.264,11.035,7.48,7.24,10.58,10.11,6.47,6.03,5.92,6.15,1,24.17,22.55
79,11.45,11.26,11.752,11.011,7.86,7.85,10.68,10.44,7.09,6.26,6.07,6.74,2,23.35,21.62
80,12.04,12.10,11.326,11.060,7.44,6.32,10.66,10.72,6.4,5.59,5.33,6.43,1,23.28,22.2
81,11.30,11.36,11.049,10.853,8.21,8.02,11.77,10.71,6.52,7.39,6.41,7.31,2,24.86,23.68
82,11.36,11.25,10.809,10.930,7.21,7.17,10.55,10.96,6.17,5.78,5.92,6.13,2,22.51,22.39
83,10.98,10.93,10.947,11.086,7.37,7.76,10.78,10.68,6.25,6.13,6.09,6.29,2,23.18,22.09
84,11.69,11.45,9.996,10.186,7.7,7.41,10.56,10.71,6.23,5.71,5.56,6.24,1,22.68,20.8
85,11.57,11.97,11.270,11.027,7.81,8.62,10.39,10.23,6.59,5.67,6.05,6.43,2,24.03,23.67
86,11.67,12.10,11.541,11.562,7.34,6.95,10.16,10.11,6.03,5.36,5.49,5.93,2,23.71,23.68
87,10.94,11.45,10.643,10.496,7.66,7.79,10.65,9.9,6.8,6.23,5.82,6.79,2,22.29,21.28
